T2,P027,RAS|SI|DA,Shared Wallet,ans@isec.pt,2022987654
T1,P456,DA,Aplicação VoIP,CallEz.Lda
T3,P007,Comunicação através de sinais de fumo,2020111111
T3,P002,Aplicação de gestão de autoestima,2019999999
T2,P023,DA,Registo de presenças e ausências,jduraes@isec.pt
T1,P111,SI,Aplicação VoIP,CallEz.Lda
T1,P114,SI,Aplicação VoIP,CallEz.Lda
T1,P234,DA,Aplicação VoIP,CallEz.Lda
T1,P124,RAS,Aplicação VoIP,CallEz.Lda
T2,P031,SI,Crowdsourcing aplicado à mobilidade urbana,ans@isec.pt,2013684456
T1,P010,DA,Aplicação para gestão de condomínios,Caves e Sótãos.Lda
